,country,handle,contribution,contest_count,rating,max_rating,friends_count,rank,duration,problem_count,avg_difficulty,avg_difficulty20,median,tag_hashing,tag_shortest paths,tag_implementation,tag_Other,tag_dsu,tag_trees,tag_brute force,tag_greedy,tag_probabilities,tag_strings,tag_binary search,tag_data structures,tag_divide and conquer,tag_two pointers,tag_sortings,tag_combinatorics,tag_string suffix structures,tag_ternary search,tag_geometry,tag_constructive algorithms,tag_math,tag_dp,tag_graphs,tag_number theory,tag_matrices,tag_graph matchings,tag_games,tag_dfs and similar,tag_bitmasks,difficulty_bucket0,difficulty_bucket1,difficulty_bucket2,difficulty_bucket3,difficulty_bucket4,difficulty_bucket5,difficulty_bucket6,difficulty_bucket7,difficulty_bucket8,difficulty_bucket9,difficulty_bucket10,difficulty_bucket11,difficulty_bucket12,organization_ABV-IIITM Gwalior,organization_Amrita Vishwa Vidyapeetham,"organization_Army Institute Of Technology (AIT), Pune","organization_BIRLA INSTITUTE OF TECHNOLOGY,  MESRA",organization_BIT Mesra,"organization_BIT Mesra, Ranchi","organization_BIT, Mesra",organization_BITS Pilani,organization_BITS Pilani Goa Campus,organization_BITS Pilani Hyderabad Campus,"organization_BITS Pilani, Pilani campus","organization_BITS, Pilani","organization_Birla Institute of Technology, Mesra","organization_College of Engineering, Guindy",organization_DA-IICT,organization_DAIICT,"organization_DAIICT, Ghandinagar Gujarat",organization_Delhi Technological University,organization_Dwarkadas J. Sanghvi College of Engineering,organization_HBTI Kanpur,organization_Heritage Institute Of Technology,organization_IEM Kolkata,"organization_IIEST, Shibpur",organization_IIIT - Delhi,organization_IIIT - HYDERABAD,organization_IIIT Allahabad,organization_IIIT Bangalore,organization_IIIT Delhi,organization_IIIT Hyderabad,organization_IIT BHU Varanasi,"organization_IIT BHU, Varanasi",organization_IIT Bombay,organization_IIT Delhi,organization_IIT Guwahati,organization_IIT Hyderabad,organization_IIT Indore,organization_IIT Jodhpur,organization_IIT Kanpur,organization_IIT Kharagpur,organization_IIT Mandi,organization_IIT Patna,organization_IIT Roorkee,organization_IIT(ISM) DHANBAD,organization_Indian Institute Of Technology Varanasi,organization_Indian Institute of Technology Bombay,organization_Indian Institute of Technology Delhi,organization_Indian Institute of Technology Kharagpur,organization_Indian Institute of Technology Madras,organization_Indian School of Mines,organization_Jadavpur University,organization_Jalpaiguri Government Engineering College,organization_Jamia Millia Islamia,"organization_Jaypee Institute of Information Technology,Noida",organization_Kamla Nehru Institute Of Technology,organization_LNMIIT,organization_Lovely Professional University,organization_MANIT Bhopal,"organization_MNNIT ,Allahabad","organization_MNNIT, Allahabad",organization_Madras institute of technology,organization_Malaviya National Institute of Technology(MNIT),organization_Microsoft,organization_Motilal Nehru National Institue of Technology,organization_NIT Calicut,organization_NIT Durgapur,organization_NIT Hamirpur,organization_NIT Jalandhar,organization_NIT Jamshedpur,organization_NIT Kurukshetra,organization_NIT Silchar,organization_NIT Trichy,organization_NIT Warangal,"organization_NITK , Surathkal",organization_National Institute of Technology Patna,"organization_Netaji Subhas Institute of Technology, Delhi",organization_Nirma University,organization_Pune Institute of Computer Technology,organization_SRM University,organization_SSN College Of Engineering,organization_SVNIT,organization_Thapar University,organization_University School of Information Technology,"organization_Vellore Institute of Technology,Vellore"
961,India,rachitjain,80,61,2018,2018,782,candidate master,1372,471,1645.0106157112527,2340.4255319148942,1600,7,13,159,12,19,46,75,88,10,28,46,66,7,22,39,26,3,1,11,63,101,138,59,28,4,1,10,65,18,37,44,66,60,66,54,62,45,25,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6029,India,ajrahul,0,4,1380,1471,2,pupil,1362,8,1250.0,1700.0,1100,1,1,5,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2614,India,nkrajesh,0,35,1612,1626,5,expert,1884,192,1239.0625,1715.7894736842104,1200,0,0,114,2,3,2,42,49,2,15,7,10,0,5,21,5,1,0,4,17,44,18,5,9,1,1,2,6,3,33,47,53,29,20,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,India,ishita_3110,0,28,1416,1479,38,specialist,338,346,1280.635838150289,1689.855072463768,1300,5,5,196,2,6,11,75,86,2,26,22,29,0,14,50,7,0,1,7,40,66,32,25,14,1,2,3,29,7,48,71,83,78,53,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3284,India,stuck_in_pupil,0,16,1578,1594,16,specialist,407,177,1471.1864406779664,1802.857142857143,1500,3,5,76,0,5,10,38,47,1,9,20,16,1,9,26,10,0,0,4,28,33,24,11,10,2,0,2,17,3,11,11,27,49,56,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,India,razor_fox,0,7,1293,1384,16,pupil,96,31,1183.8709677419354,1533.333333333333,1200,0,0,18,0,1,0,2,12,0,3,2,2,0,0,4,1,0,0,0,2,8,2,1,2,0,0,0,0,0,4,10,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5757,India,DE-CODER,0,15,912,1385,12,newbie,840,62,987.0967741935484,1258.3333333333333,1000,0,0,45,0,0,0,8,8,0,13,2,1,0,1,7,0,0,0,0,1,16,0,0,2,0,0,1,0,0,29,24,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1797,India,pranitshah,0,16,1450,1647,4,specialist,2104,45,1384.4444444444446,1822.2222222222226,1400,0,0,28,0,0,2,9,15,0,2,3,2,0,3,9,1,0,0,2,3,7,6,2,2,0,0,0,3,0,3,8,10,12,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4149,India,chota,0,26,1697,1719,45,expert,503,112,1281.25,1790.909090909091,1300,0,1,55,1,3,3,11,29,0,9,5,6,2,3,13,0,0,1,2,16,28,17,6,5,1,0,2,8,2,23,16,26,23,16,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6259,India,raj_ankit744,0,6,1223,1402,3,pupil,1144,29,1372.4137931034486,2060.0,1300,1,0,15,0,0,0,10,3,0,1,2,1,0,1,3,1,1,0,0,3,6,3,0,2,0,0,1,1,2,3,7,6,5,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3264,India,_Dexter_,0,16,1630,1630,33,expert,519,95,1332.6315789473686,1836.842105263158,1300,0,0,50,0,2,9,17,17,1,7,6,16,0,7,9,0,0,0,3,7,16,18,6,4,0,0,1,10,2,14,17,19,22,13,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,India,oyoot,0,9,1138,1498,4,newbie,1392,46,1052.1739130434785,1400.0,1000,0,0,30,0,0,0,5,8,0,6,1,1,0,1,4,0,0,0,0,3,11,2,1,2,0,0,1,0,0,14,16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3940,India,pranavgupta998,0,27,1412,1531,11,specialist,686,97,1227.8350515463915,1694.7368421052633,1300,1,1,55,0,0,3,13,25,1,10,5,3,0,4,10,3,0,0,2,12,19,13,4,2,0,0,0,4,0,25,14,24,15,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5405,India,sachinr,0,16,1439,1688,9,specialist,1905,34,1202.9411764705885,1650.0,1200,0,0,24,0,0,0,7,10,0,2,0,2,0,1,5,0,0,0,0,3,8,5,1,1,0,0,0,0,0,7,8,11,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
