country,handle,contribution,contest_count,organization,problem_count,avg_difficulty,avg_difficulty20,median,dp,hashing,Other,combinatorics,ternary search,probabilities,bitmasks,binary search,graph matchings,geometry,dfs and similar,games,brute force,shortest paths,divide and conquer,strings,math,graphs,string suffix structures,data structures,implementation,trees,sortings,two pointers,matrices,dsu,constructive algorithms,greedy,number theory,difficulty_bucket0,difficulty_bucket1,difficulty_bucket2,difficulty_bucket3,difficulty_bucket4,difficulty_bucket5,difficulty_bucket6,difficulty_bucket7,difficulty_bucket8,difficulty_bucket9,difficulty_bucket10,difficulty_bucket11,difficulty_bucket12
India,Maulik_Patel,0,52,DA-IICT,626,1508.3067092651756,2076.8,1500,109,7,10,16,3,9,24,78,0,9,56,9,105,13,7,34,130,41,2,134,254,47,78,37,1,23,65,124,42,58,77,98,102,106,86,70,20,7,2,0,0,0
India,aya_cool,9,34,DA-IICT,236,1582.6271186440679,2278.723404255319,1600,49,5,5,11,1,2,9,33,0,4,28,7,54,2,3,13,56,18,0,48,83,23,30,11,0,5,28,51,20,23,29,36,22,36,32,26,15,12,5,0,0,0
India,PriyamV_181,-29,23,DA-IICT,83,1284.3373493975903,1718.75,1300,9,0,0,1,0,0,3,23,0,3,5,1,26,0,0,4,20,3,0,2,38,0,13,9,0,1,11,14,6,14,13,21,19,9,7,0,0,0,0,0,0,0
India,dhruval161,0,28,DA-IICT,146,1475.3424657534247,2041.3793103448277,1500,25,1,5,7,0,5,9,13,0,0,9,3,18,3,6,10,39,11,0,17,51,8,11,9,0,5,17,41,7,14,22,25,19,29,21,9,4,2,1,0,0,0
India,Sabuwala.Mustafa,0,23,DA-IICT,81,1332.0987654320988,1943.75,1200,13,0,1,1,0,0,0,5,0,1,4,2,14,1,1,7,19,3,0,7,43,3,11,2,0,0,18,9,3,15,15,15,10,12,8,3,2,1,0,0,0,0
India,AwwwMeraBacha,0,1,DA-IICT,4,1250.0,1700.0,1200,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,4,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
India,Sagar_Savaliya,0,65,DA-IICT,412,1425.2427184466019,2075.609756097561,1400,81,5,4,13,0,6,16,42,0,13,29,6,87,4,5,37,99,23,1,56,181,28,47,11,2,10,50,77,22,58,73,72,45,58,47,32,21,6,0,0,0,0
India,U_Square,4,60,DA-IICT,573,1579.9301919720767,2247.3684210526317,1600,111,11,17,18,1,13,25,70,2,13,62,11,91,9,10,44,132,43,4,110,197,44,69,28,2,25,64,122,38,50,71,88,57,96,67,75,40,20,6,3,0,0
India,uttam36,0,47,DA-IICT,210,1332.857142857143,1897.6190476190477,1300,30,1,3,7,0,3,2,17,0,5,12,2,37,1,2,16,53,10,0,19,100,12,21,8,0,3,33,45,13,33,45,37,35,29,18,7,5,1,0,0,0,0
India,dhrumil140396,0,43,DA-IICT,368,1610.8695652173913,2278.082191780822,1600,80,12,11,21,2,10,11,36,1,11,45,5,62,7,5,25,79,39,4,48,123,29,40,16,3,14,38,75,16,23,39,57,53,57,55,36,27,13,5,3,0,0
India,Oreo_85,5,96,DA-IICT,469,1425.586353944563,2032.258064516129,1400,95,4,8,13,2,3,19,44,2,8,33,9,103,11,3,29,88,32,3,54,208,24,40,24,1,13,53,103,21,63,77,79,64,81,52,34,11,5,3,0,0,0
India,--UMANG--,0,18,DA-IICT,48,1243.75,1800.0,1200,5,0,0,1,0,0,0,2,0,1,5,1,8,1,0,3,7,4,0,3,25,3,9,2,0,0,4,9,1,9,10,15,6,5,1,1,0,0,1,0,0,0
India,shirishJain,-4,34,DA-IICT,148,1185.1351351351352,1682.7586206896551,1200,12,0,2,2,0,0,3,5,0,3,6,2,24,0,0,10,30,5,0,5,93,4,15,3,0,2,17,34,7,40,27,38,24,11,5,1,2,0,0,0,0,0
India,akdent,0,5,DA-IICT,34,1464.7058823529412,2050.0,1400,8,0,0,1,0,1,2,1,0,1,1,0,4,1,0,2,9,1,0,2,11,1,6,0,0,0,0,11,1,3,4,7,7,5,4,2,2,0,0,0,0,0
India,tapanr97,0,30,DA-IICT,147,1331.9727891156463,2000.0,1300,10,0,1,2,1,1,2,15,0,3,14,1,33,0,2,11,23,9,0,14,78,12,18,0,0,2,21,31,4,28,27,36,15,15,11,7,6,2,0,0,0,0
India,Grind,0,23,DA-IICT,93,1310.752688172043,1794.4444444444443,1300,8,3,2,4,0,1,3,3,0,1,3,0,22,1,0,11,24,2,1,6,57,0,11,0,1,1,14,25,4,13,17,23,23,8,6,1,1,1,0,0,0,0
India,_Mr_Fab,-1,41,DA-IICT,613,1638.662316476346,2311.4754098360654,1600,141,15,17,21,2,11,24,76,1,9,69,8,103,10,11,43,135,50,4,135,212,50,63,36,3,26,69,138,38,50,67,80,68,91,68,94,51,32,9,3,0,0
