,0,1
0,1502.168607365209,1517.0
1,1271.6724168414803,1391.0
2,1933.3090620412113,1874.0
3,1295.7221497405117,1407.0
4,1322.368018001187,1253.0
5,1190.9109351037623,912.0
6,1241.300765430511,1238.0
7,1340.8215954227926,1391.0
8,1604.396338313687,1486.0
9,1311.7013291417243,1426.0
10,1445.9604980869772,1278.0
11,1435.2449783681514,1397.0
12,1376.4291074051143,1495.0
13,1243.4542197937699,1206.0
14,1619.579971594605,1599.0
15,1319.0338020919444,1316.0
16,1168.6210943123879,1003.0
17,1258.3132946415426,1387.0
18,1678.5909650100948,1709.0
19,1245.5645666493656,1276.0
20,1762.1798952965619,1669.0
21,1287.840361058581,1404.0
22,1275.9417081995489,1219.0
23,1242.434975121505,1319.0
24,1372.7142724058212,1359.0
25,1216.5134675219742,1042.0
26,1537.6894558983477,1583.0
27,1490.5358512549283,1404.0
28,1308.538548476863,1291.0
29,1147.1728432940872,1082.0
30,1405.1063067557843,1302.0
31,1286.970459440592,1302.0
32,1307.8305149845255,1412.0
33,1310.657489206511,1254.0
34,1567.0211692153098,1654.0
35,1719.8589336796285,1814.0
36,1618.948719918597,1524.0
37,1410.0803656874778,1429.0
38,1657.747861571479,1589.0
39,1408.3246075882198,1466.0
40,2099.5698824300052,2044.0
41,1528.162046328056,1525.0
42,1322.744462163988,1423.0
43,1892.7064719496848,1671.0
44,1291.7586219458462,1374.0
45,1456.1438667863695,1585.0
46,1638.1177975906612,1696.0
47,1588.1175198348792,1607.0
48,1405.3750884866895,1493.0
49,1276.1209270878317,1332.0
50,1297.718167245257,1103.0
51,1268.5274657307746,1344.0
52,1811.2453404849948,1856.0
53,1665.1152753903152,1751.0
54,1323.4671004320116,1216.0
55,1306.137234190348,1348.0
56,1218.4722030496778,1239.0
57,1264.1768405212642,1174.0
58,1294.8461847695144,1449.0
59,1543.879011131692,1591.0
60,1416.4138621388556,1479.0
61,1253.7128567489417,1208.0
62,1323.7865234723868,1374.0
63,1217.1119773163082,1218.0
64,1216.5312558727892,1017.0
65,1292.4190235537098,1347.0
66,1445.0286076158372,1536.0
67,1260.5796779895754,1292.0
68,1310.1173579840543,1413.0
69,1238.7958042545797,1085.0
70,1220.3168859555008,1170.0
71,1650.2123610525014,1713.0
72,1389.5093089033471,1382.0
73,1551.2108450828673,1489.0
74,1299.4919442533137,1427.0
75,1242.8685891105415,1259.0
76,1510.6662988698663,1574.0
77,1536.4809607117058,1542.0
78,1306.179985716808,1069.0
79,1659.4046580939175,1700.0
80,1215.0753489307535,1004.0
81,2217.321864053476,2082.0
82,1531.512636244166,1629.0
83,1281.397523753214,1386.0
84,1211.4284876732709,1265.0
85,1623.7332613969775,1659.0
86,2123.5320271568926,2148.0
87,1468.1720602660062,1534.0
88,1492.6275587453129,1585.0
89,1488.1857949847908,1501.0
90,1149.2031892397063,1077.0
91,1263.047865931745,1321.0
92,1334.8699503092648,1310.0
93,1551.0470852645667,1495.0
